time,r,Ge,G,P,Q,N
87.9463087248322,0.0010526315789473684,4.4560601305372325,4.285502299112717,5.504113539156717,3.823549349391749e-09,1.1610077864975607e-27
87.9463087248322,0.0015789473684210526,4.4560601305372325,4.287857386139219,5.5041955247369225,3.793469187214008e-09,1.1313723956628271e-27
87.9463087248322,0.002105263157894737,4.4560601305372325,4.291155646245303,5.504310263416623,3.751797423982771e-09,1.0912289037989089e-27
87.9463087248322,0.002631578947368421,4.4560601305372325,4.295398218239876,5.504457714138996,3.6989647273308805e-09,1.041832512897544e-27
87.9463087248322,0.003157894736842105,4.4560601305372325,4.300586567075018,5.504637824224571,3.6355111123466165e-09,9.84675511179163e-28
87.9463087248322,0.0036842105263157894,4.4560601305372325,4.306722484419275,5.504850529451401,3.5620761698531774e-09,9.21409603405218e-28
87.9463087248322,0.004210526315789474,4.4560601305372325,4.313808089354678,5.505095754152384,3.4793876610923617e-09,8.537642072119904e-28
87.9463087248322,0.004736842105263157,4.4560601305372325,4.321845829195642,5.505373411329149,3.3882487722885766e-09,7.834664541538674e-28
87.9463087248322,0.005263157894736842,4.4560601305372325,4.330838480427947,5.505683402782188,3.2895243510218383e-09,7.121680713131347e-28
87.9463087248322,0.005789473684210527,4.4560601305372325,4.340789149766128,5.506025619256579,3.1841264642115245e-09,6.413833333371031e-28
87.9463087248322,0.00631578947368421,4.4560601305372325,4.35170127532788,5.50639994060281,3.0729996244821137e-09,5.724410036094568e-28
87.9463087248322,0.006842105263157894,4.4560601305372325,4.363578627924463,5.50680623595209,2.957106027853007e-09,5.064517846094907e-28
87.9463087248322,0.007368421052631579,4.4560601305372325,4.376425312466594,5.507244363905508,2.837411131582463e-09,4.442914268668335e-28
87.9463087248322,0.007894736842105263,4.4560601305372325,4.39024576948577,5.507714172736351,2.714869877482573e-09,3.865984374139481e-28
87.9463087248322,0.008421052631578947,4.4560601305372325,4.40504477677156,5.508215500604737,2.5904138342829963e-09,3.337843809824768e-28
